Sample,mcg,gvh,alm,mit,erl,pox,vac,nuc,Class
378,0.74,0.53,0.5,0.08,0.5,0,0.55,NA,CYT
379,0.69,0.48,NA,0.15,0.5,0,0.55,NA,non-CYT
380,NA,0.5,0.47,0.11,0.5,0,0.46,0.22,CYT
381,0.44,0.51,0.48,0.38,0.5,0,0.52,0.22,CYT
382,0.31,0.45,0.5,0.17,0.5,0,0.49,0.22,CYT
383,0.55,0.41,0.56,0.21,0.5,0,0.52,0.22,CYT
384,0.4,0.34,0.52,0.17,0.5,0,0.47,0.51,non-CYT
385,0.4,0.48,0.5,0.17,0.5,0,0.54,0.5,CYT
386,NA,0.48,0.56,0.1,0.5,0,0.46,NA,non-CYT
387,0.58,0.48,0.56,0.12,0.5,0,0.46,0.25,non-CYT
388,0.58,0.45,0.48,0.24,0.5,0,0.52,0.37,CYT
389,0.58,0.41,0.51,0.26,0.5,0,0.51,0.37,CYT
390,0.41,0.6,0.53,0.29,0.5,0,0.47,0.43,non-CYT
391,0.69,0.5,0.49,0.42,0.5,0,0.49,NA,non-CYT
392,0.38,NA,0.61,0.13,0.5,0,0.54,0.22,CYT
393,0.6,0.48,0.44,0.52,0.5,0,0.54,0.63,non-CYT
394,0.47,0.49,NA,0.17,0.5,0,0.31,NA,non-CYT
395,0.28,0.51,0.55,0.11,0.5,0,0.46,0.22,non-CYT
396,0.56,0.57,0.63,0.39,1,0,0.59,0.4,non-CYT
397,0.21,0.38,0.49,NA,0.5,0,0.51,0.45,CYT
398,0.46,0.57,0.57,0.15,0.5,0,0.52,0.26,non-CYT
399,0.43,0.42,0.54,NA,0.5,0,0.57,NA,non-CYT
400,0.57,0.59,NA,0.58,0.5,0,0.53,0.22,non-CYT
401,0.48,0.34,NA,0.14,0.5,0,0.47,0.26,CYT
402,0.35,0.4,NA,0.18,0.5,0,0.42,0.38,CYT
403,0.47,0.45,0.53,0.62,0.5,0,0.46,0.22,non-CYT
404,0.53,0.43,0.47,0.15,0.5,0,0.58,0.22,CYT
405,NA,0.45,0.56,0.16,0.5,0,0.56,NA,CYT
406,0.44,0.42,0.62,0.14,0.5,0,0.55,0.37,non-CYT
407,NA,0.34,0.58,0.24,0.5,0,0.44,0.18,non-CYT
408,0.37,0.34,0.58,0.24,0.5,0,0.44,0.18,non-CYT
409,0.39,0.39,NA,0.52,0.5,0,0.37,0.16,non-CYT
410,0.39,0.39,0.55,0.52,0.5,0,0.37,0.16,non-CYT
411,0.48,0.46,0.38,NA,0.5,0,0.53,0.22,non-CYT
412,0.48,0.57,0.5,0.09,0.5,0,0.52,0.42,non-CYT
413,0.61,0.57,0.45,0.21,0.5,0,0.5,0.42,non-CYT
414,0.56,0.44,0.56,0.19,0.5,0,NA,0.22,CYT
415,0.51,0.63,0.3,0.35,0.5,0,0.53,0.27,non-CYT
416,0.53,0.68,0.34,0.42,0.5,0,0.54,0.27,non-CYT
417,0.37,0.22,0.64,0.35,0.5,0,0.47,0.22,non-CYT
418,0.51,0.48,0.58,0.22,0.5,0,0.5,NA,non-CYT
419,0.49,0.37,0.59,0.17,NA,0,0.51,0.22,non-CYT
420,0.51,0.48,0.58,0.22,0.5,0,0.5,0.28,non-CYT
421,NA,0.53,0.53,0.17,0.5,0,0.49,0.37,non-CYT
422,0.29,0.68,0.47,0.26,0.5,0,0.47,0.37,non-CYT
423,0.5,0.45,0.49,0.15,0.5,0,0.55,0.43,non-CYT
424,0.33,0.28,0.31,0.24,0.5,0,0.53,0.22,non-CYT
425,0.85,0.85,0.3,0.31,0.5,0,0.55,0.42,non-CYT
426,0.43,0.39,0.51,0.28,0.5,0,0.4,0.22,non-CYT
427,0.61,0.54,0.49,0.16,0.5,0,0.54,0.42,CYT
428,0.34,0.35,0.61,0.19,0.5,0,0.52,0.25,non-CYT
429,0.55,0.53,NA,0.29,0.5,0,0.48,0.22,non-CYT
430,0.66,0.62,0.52,0.17,0.5,0,0.49,0.22,CYT
431,0.44,0.41,0.58,0.2,0.5,0,0.57,0.25,CYT
432,0.37,0.62,0.34,0.25,0.5,0,0.51,0.22,non-CYT
433,0.45,0.56,0.51,0.64,0.5,0,0.54,0.22,non-CYT
434,0.38,0.46,0.52,0.75,0.5,0,0.5,0.26,non-CYT
435,0.61,0.54,0.49,0.19,0.5,0,0.54,0.47,CYT
436,0.44,0.53,0.52,0.37,0.5,0,NA,0.22,non-CYT
437,0.44,0.53,0.52,0.37,0.5,0,0.5,0.22,non-CYT
438,NA,0.34,0.61,0.17,0.5,0,0.52,0.32,non-CYT
439,0.34,0.34,0.61,0.18,0.5,0,0.52,0.32,non-CYT
440,0.51,0.68,0.49,0.59,0.5,0,0.54,0.27,non-CYT
441,0.41,0.3,0.49,0.28,0.5,0,0.54,NA,CYT
442,0.41,0.43,0.5,0.28,0.5,0,0.5,0.22,CYT
443,0.3,0.5,0.34,0.26,0.5,0,0.51,0.22,non-CYT
444,0.49,0.4,0.34,0.26,0.5,0,0.5,0.22,non-CYT
445,0.34,0.4,0.3,0.23,0.5,0,0.51,0.22,non-CYT
446,0.43,0.44,0.3,0.18,0.5,0,0.51,0.22,non-CYT
447,NA,0.45,0.37,0.12,0.5,0,0.48,0.22,non-CYT
448,0.45,0.57,0.3,0.17,0.5,0,0.51,0.22,non-CYT
449,0.45,0.57,0.3,0.17,0.5,0,0.51,0.22,non-CYT
450,0.42,0.44,0.33,0.17,0.5,0,NA,0.27,non-CYT
451,0.52,0.5,0.53,0.1,0.5,0,NA,0.22,non-CYT
452,0.53,0.56,0.49,0.46,0.5,0,0.52,0.22,non-CYT
453,0.45,0.54,0.54,0.62,0.5,0,0.53,0.22,non-CYT
454,0.51,0.43,0.63,0.18,0.5,0,0.52,0.22,CYT
455,0.51,0.52,0.48,0.5,0.5,0,0.51,NA,non-CYT
456,0.55,0.49,0.5,0.46,0.5,0,0.52,0.25,non-CYT
457,0.5,0.46,0.52,0.16,0.5,0,0.52,0.26,CYT
458,0.5,0.53,0.45,0.44,0.5,0,0.49,0.22,non-CYT
459,0.45,0.59,0.53,0.74,0.5,0,0.47,0.25,non-CYT
460,0.57,0.61,0.55,0.67,0.5,0,0.48,0.22,non-CYT
461,0.54,0.45,0.62,0.13,0.5,0,0.52,0.26,non-CYT
462,0.67,0.51,0.53,0.28,0.5,0,0.51,0.22,non-CYT
463,0.35,0.49,0.47,0.22,0.5,0,NA,0.28,non-CYT
464,0.47,0.63,0.66,0.45,0.5,0,0.37,0.11,non-CYT
465,0.51,0.34,0.43,0.18,0.5,0,0.48,0.25,CYT
466,0.56,0.45,0.59,0.14,0.5,0,0.51,0.26,non-CYT
467,0.45,0.38,0.59,0.18,0.5,0,0.44,0.45,non-CYT
468,0.43,0.51,0.6,0.25,0.5,0,0.55,0.22,CYT
469,0.47,0.59,0.43,0.13,0.5,0,NA,0.3,non-CYT
470,0.4,0.45,0.42,NA,0.5,0,0.54,0.26,non-CYT
471,0.89,0.81,NA,0.71,0.5,0,0.55,0.63,non-CYT
472,0.58,NA,0.52,0.22,0.5,0,0.44,0.22,non-CYT
473,0.59,0.57,NA,0.14,0.5,0,0.52,0.22,non-CYT
474,0.49,0.41,0.32,0.21,0.5,0,0.5,0.32,non-CYT
475,0.35,0.53,0.35,0.33,0.5,0,0.5,0.32,non-CYT
476,0.42,0.32,0.61,0.13,0.5,0,0.14,0.27,non-CYT
477,0.5,0.46,0.42,0.32,0.5,0,0.56,0.55,non-CYT
478,0.68,0.5,0.43,0.27,0.5,0,0.61,0.22,non-CYT
479,0.5,0.45,0.49,0.3,0.5,0,0.47,0.4,non-CYT
480,0.46,0.41,NA,0.44,0.5,0,0.53,0.22,non-CYT
481,NA,0.36,0.34,NA,0.5,0,0.55,0.26,non-CYT
482,NA,0.51,0.42,0.13,0.5,0,NA,0.25,non-CYT
483,0.7,0.73,0.37,0.37,0.5,0,0.48,0.31,non-CYT
484,NA,0.76,0.32,0.37,0.5,0,0.51,0.22,non-CYT
485,0.65,0.61,0.39,0.3,0.5,0,0.57,0.28,non-CYT
486,0.47,0.43,0.35,0.32,0.5,0,0.54,0.22,non-CYT
487,NA,0.25,0.6,0.14,NA,0,0.45,0.22,CYT
488,NA,0.34,0.41,0.28,0.5,0,0.5,0.27,non-CYT
489,0.85,0.56,NA,0.38,1,0,0.55,0.25,non-CYT
490,NA,0.31,0.6,0.37,0.5,0,NA,0.3,non-CYT
491,0.59,0.53,0.47,0.26,0.5,0,0.53,0.31,non-CYT
492,NA,0.63,NA,0.41,0.5,0,0.6,0.33,non-CYT
493,NA,0.73,0.38,0.36,0.5,0,0.54,0.22,non-CYT
494,0.54,0.51,0.54,0.52,0.5,0,0.47,0.25,non-CYT
495,0.53,0.5,0.54,0.56,0.5,0,0.49,0.41,non-CYT
496,0.84,0.63,0.38,0.23,0.5,0,0.53,0.22,non-CYT
497,0.89,0.77,0.36,0.34,0.5,0,0.44,0.22,non-CYT
498,0.48,0.43,0.45,NA,0.5,0,0.48,0.37,non-CYT
499,0.36,0.35,NA,0.22,0.5,0,0.44,0.31,non-CYT
500,0.57,0.49,0.48,0.16,0.5,0,0.51,0.22,non-CYT
501,0.43,0.52,0.53,0.52,1,0,0.49,0.22,CYT
502,0.38,0.49,0.54,1,0.5,0,0.5,0.27,CYT
503,0.43,0.32,0.56,0.27,0.5,0,0.47,0.27,non-CYT
504,0.84,0.87,0.45,0.54,0.5,0,0.28,0.22,non-CYT
505,0.27,0.56,NA,0.18,0.5,0,0.52,0.22,CYT
506,0.89,0.82,0.6,0.49,0.5,0,0.55,0.22,non-CYT
507,0.86,0.92,0.5,0.37,1,0,0.53,0.32,non-CYT
508,0.37,0.55,0.29,0.32,0.5,0,0.51,0.22,non-CYT
509,0.87,0.83,0.57,0.36,0.5,0,0.36,0.22,non-CYT
510,0.43,0.45,NA,0.14,0.5,0,0.5,0.31,CYT
511,0.52,0.48,0.54,0.28,0.5,0,0.54,0.22,non-CYT
512,0.77,0.6,0.42,0.33,0.5,0,0.57,0.22,non-CYT
513,0.76,0.74,NA,0.34,0.5,0,0.51,0.3,non-CYT
514,0.58,0.76,0.4,0.37,0.5,0,0.54,0.3,non-CYT
515,0.94,0.6,0.33,0.49,0.5,0,NA,0.22,non-CYT
516,0.36,0.44,0.57,0.18,0.5,0,0.42,0.22,non-CYT
517,0.42,0.51,NA,0.22,0.5,0,0.49,0.26,non-CYT
518,0.52,0.48,0.58,0.55,0.5,0,0.48,NA,CYT
519,0.42,0.32,0.48,0.16,0.5,0,0.55,0.22,non-CYT
520,0.43,0.38,0.51,0.24,0.5,0,0.46,0.33,non-CYT
521,NA,0.57,0.52,0.61,0.5,0,0.51,0.22,non-CYT
522,0.83,0.53,0.52,0.2,0.5,0,0.48,0.25,non-CYT
523,0.36,0.34,NA,0.19,0.5,0,NA,0.22,non-CYT
524,0.51,0.43,0.47,NA,0.5,0,0.52,0.37,CYT
525,0.54,0.54,0.49,NA,0.5,0,0.56,0.22,CYT
526,0.44,0.41,0.44,0.13,0.5,0,0.49,0.42,non-CYT
527,0.52,0.62,0.54,0.19,0.5,0,0.5,NA,non-CYT
528,0.46,0.4,0.38,0.18,0.5,0,0.49,0.22,non-CYT
529,0.68,0.5,0.55,0.65,0.5,0,0.46,0.31,non-CYT
530,0.53,0.44,0.47,0.22,0.5,0,0.53,0.22,non-CYT
531,0.48,0.48,0.5,NA,0.5,0,0.55,0.22,non-CYT
532,0.46,0.14,0.36,0.21,0.5,0,0.5,0.25,non-CYT
533,0.5,0.45,NA,0.17,0.5,0,0.5,0.26,CYT
534,0.44,0.53,0.43,0.17,0.5,0,0.54,0.75,non-CYT
535,0.46,0.47,0.46,0.16,0.5,0,0.51,0.22,CYT
536,0.52,0.49,0.57,0.57,0.5,0,NA,0.22,non-CYT
537,0.62,0.64,0.56,0.2,0.5,0,0.48,NA,non-CYT
538,0.46,0.32,0.58,0.17,0.5,0,0.61,0.25,non-CYT
539,0.78,0.48,NA,0.3,0.5,0,0.53,0.47,non-CYT
540,NA,0.62,0.65,0.18,0.5,0,0.46,0.43,non-CYT
541,0.5,0.34,0.62,0.19,0.5,0,0.57,0.22,CYT
542,0.39,0.37,0.33,0.23,0.5,0,NA,0.26,non-CYT
543,0.39,0.37,0.56,0.15,0.5,0,0.5,0.27,CYT
544,0.33,0.37,0.54,0.28,0.5,0,0.53,0.27,non-CYT
545,0.39,0.37,0.33,0.23,0.5,0,0.52,0.26,non-CYT
546,NA,0.38,0.53,0.26,0.5,0,0.52,0.27,non-CYT
547,NA,0.51,0.57,0.24,0.5,0,0.5,0.22,CYT
548,NA,0.62,0.54,0.66,0.5,0,0.49,0.22,non-CYT
549,0.47,0.54,0.54,0.48,0.5,0,0.53,0.26,non-CYT
550,0.72,0.58,0.42,0.28,0.5,0,0.48,0.22,non-CYT
551,NA,0.41,0.51,0.19,0.5,0,0.57,0.22,non-CYT
552,0.81,0.65,0.52,0.41,0.5,0,0.57,0.26,non-CYT
553,0.5,0.49,0.52,0.2,0.5,0,0.43,0.52,non-CYT
554,0.18,0.48,0.46,NA,0.5,0,0,0.25,non-CYT
555,0.26,0.38,0.52,0.36,0.5,0,0.48,0.56,non-CYT
556,0.53,0.51,0.51,0.11,0.5,0,0.49,0.41,non-CYT
557,0.58,0.49,0.5,0.41,0.5,0,0.57,0.22,non-CYT
558,0.62,0.6,0.47,0.16,0.5,0,0.53,0.22,CYT
559,0.68,0.58,0.51,0.19,0.5,0.83,0.54,0.22,non-CYT
560,0.4,0.52,0.53,0.52,0.5,0,0.51,0.22,non-CYT
561,0.51,0.47,0.41,0.44,0.5,0,0.5,0.22,non-CYT
562,0.72,0.56,0.4,0.26,0.5,0,0.51,0.26,non-CYT
563,0.49,0.44,0.45,0.22,0.5,0,0.51,0.22,CYT
564,0.32,0.47,0.55,0.25,0.5,0,0.49,NA,non-CYT
565,0.46,0.57,0.52,0.28,0.5,0,NA,0.22,non-CYT
566,0.53,NA,0.45,0.44,NA,0,0.49,0.27,non-CYT
567,0.49,0.48,0.46,NA,0.5,0,0.52,0.22,non-CYT
568,0.7,0.53,0.42,NA,0.5,0,0.51,0.28,non-CYT
569,0.68,0.68,0.49,0.15,0.5,0,0.53,0.22,non-CYT
570,0.47,0.6,0.35,0.21,0.5,0,0.52,0.22,non-CYT
571,0.55,0.49,0.45,NA,0.5,0,0.49,0.22,non-CYT
572,NA,0.53,0.61,0.21,0.5,0,0.48,0.33,non-CYT
573,0.57,0.44,0.42,0.2,0.5,0,0.54,0.22,CYT
574,0.4,0.47,0.48,0.18,0.5,0,0.46,0.22,CYT
575,0.34,0.54,0.54,0.13,0.5,0,0.52,0.22,CYT
576,0.43,0.83,0.55,0.2,0.5,0,0.47,NA,non-CYT
577,0.55,0.65,0.5,0.28,0.5,0,0.55,0.22,non-CYT
578,0.29,0.46,0.54,0.27,0.5,0,0.49,0.22,CYT
579,0.46,0.42,0.6,0.21,0.5,0,0.4,0.22,non-CYT
580,0.8,0.81,0.55,0.35,0.5,0,0.42,0.22,non-CYT
581,0.79,0.74,0.49,NA,0.5,0,0.48,0.22,non-CYT
582,0.45,0.48,NA,0.67,0.5,0,0.48,0.22,non-CYT
583,0.66,0.52,0.52,0.44,0.5,0,0.56,0.27,non-CYT
584,0.5,NA,0.59,0.47,0.5,0,0.49,0.36,non-CYT
585,0.54,0.52,0.54,0.2,0.5,0,0.55,0.25,non-CYT
586,0.37,0.31,0.53,0.16,0.5,0,0.53,0.44,non-CYT
587,0.43,0.39,0.59,0.13,0.5,0,0.41,0.43,non-CYT
588,NA,0.47,0.54,0.55,0.5,0,0.51,0.65,non-CYT
589,0.6,0.59,0.45,0.23,0.5,0,NA,0.22,non-CYT
590,0.45,0.73,0.47,0.65,0.5,0,0.54,0.43,non-CYT
591,0.66,0.54,0.49,NA,0.5,0,0.54,0.36,non-CYT
592,0.46,0.55,0.61,0.13,0.5,0,0.47,0.22,CYT
593,0.42,0.5,0.53,0.22,0.5,0.83,0.5,0.22,non-CYT
594,0.66,0.66,0.32,0.54,0.5,0,0.51,0.22,non-CYT
595,0.74,0.56,NA,NA,0.5,0,0.51,0.25,non-CYT
596,0.89,0.52,0.41,0.26,0.5,0,0.52,0.31,non-CYT
597,0.67,0.51,0.54,0.21,0.5,0,0.43,0.3,non-CYT
598,0.58,0.46,0.46,0.34,0.5,0,0.5,0.43,non-CYT
599,0.4,0.68,0.5,0.82,0.5,0,0.44,0.36,non-CYT
600,0.59,0.57,0.43,0.26,0.5,0,0.51,0.22,non-CYT
601,0.39,0.3,0.56,0.12,0.5,0,0.53,0.38,non-CYT
602,0.6,0.62,0.54,0.4,0.5,0,0.5,0.22,non-CYT
603,0.36,0.4,0.53,0.48,0.5,0,0.48,0.22,non-CYT
604,0.51,0.42,0.56,NA,0.5,0,NA,0.22,non-CYT
605,0.41,0.54,0.58,NA,0.5,0,0.52,0.22,non-CYT
606,0.57,0.4,0.62,0.3,0.5,0,0.48,0.11,non-CYT
607,0.52,0.5,0.59,NA,0.5,0,0.5,0.22,non-CYT
608,0.42,0.53,0.53,0.64,0.5,0,0.47,0.22,non-CYT
609,0.5,0.46,0.64,NA,0.5,0,0.49,0.22,non-CYT
610,0.6,0.51,0.6,0.38,0.5,0.83,0.52,0.24,non-CYT
611,0.45,0.38,0.64,0.14,0.5,0,0.54,0.22,non-CYT
612,0.6,0.57,0.64,0.52,0.5,0,0.47,0.28,non-CYT
613,0.53,NA,NA,0.29,0.5,0,0.5,0.22,non-CYT
614,0.41,0.52,0.53,0.41,0.5,0,0.39,0.33,non-CYT
615,NA,0.43,0.63,0.4,0.5,0,0.59,0.11,non-CYT
616,0.44,0.44,0.67,0.35,0.5,0,0.48,0.26,non-CYT
617,0.58,0.52,0.61,0.33,0.5,0,0.38,0.11,non-CYT
618,0.57,0.61,NA,0.27,0.5,0,0.44,NA,non-CYT
619,0.57,0.58,0.58,0.35,NA,0,0.49,0.22,non-CYT
620,0.64,0.64,NA,NA,0.5,0,0.5,0.22,non-CYT
621,0.56,0.5,0.61,0.49,0.5,0,0.46,0.28,non-CYT
622,0.6,0.46,0.59,0.16,0.5,0,0.49,0.22,non-CYT
623,0.36,0.38,0.56,0.44,0.5,0,0.48,0.22,non-CYT
624,0.53,0.52,0.61,0.35,0.5,0,0.5,0.22,non-CYT
625,0.62,0.59,0.54,NA,0.5,0,NA,0.22,non-CYT
626,0.55,0.5,0.6,0.31,0.5,0,0.46,0.27,non-CYT
627,0.58,0.53,0.57,0.46,0.5,0,0.51,0.27,non-CYT
628,NA,0.53,0.55,0.52,0.5,0,0.47,0.27,non-CYT
629,0.38,0.54,0.54,0.41,NA,0,0.51,0.22,non-CYT
630,0.58,0.53,0.5,0.53,0.5,0,0.47,0.31,non-CYT
631,0.61,0.46,NA,0.37,0.5,0,0.51,0.22,non-CYT
632,0.55,0.59,0.47,0.64,0.5,0,0.54,0.33,non-CYT
633,0.54,0.64,0.5,0.13,0.5,0,0.49,NA,non-CYT
634,0.4,0.74,0.49,0.16,0.5,0,0.51,0.22,non-CYT
635,0.76,0.76,0.35,0.27,0.5,0,0.44,0.22,non-CYT
636,0.51,0.56,NA,NA,0.5,0,0.53,0.36,non-CYT
637,0.43,0.32,0.5,0.29,0.5,0,0.5,0.22,non-CYT
638,NA,0.44,0.45,0.55,0.5,0,NA,0.22,non-CYT
639,NA,0.45,0.44,0.2,0.5,0,0.55,0.33,non-CYT
640,0.51,0.6,0.51,0.26,0.5,0,0.54,0.22,non-CYT
641,0.49,0.46,0.42,NA,0.5,0,0.55,0.22,non-CYT
642,0.5,0.56,0.49,0.61,0.5,0,0.5,0.22,non-CYT
643,0.51,0.48,0.51,0.43,0.5,0,0.49,0.22,non-CYT
644,0.52,0.38,0.62,0.12,0.5,0,0.41,0.28,non-CYT
645,0.53,0.4,0.57,0.12,0.5,0,0.53,0.32,non-CYT
646,0.51,0.56,0.62,0.24,0.5,0,0.52,0.51,non-CYT
647,0.63,0.6,0.5,0.27,0.5,0,0.55,0.22,non-CYT
648,0.46,0.44,0.53,NA,0.5,0,0.48,0.22,non-CYT
649,0.58,0.57,0.54,0.69,0.5,0,0.54,0.22,non-CYT
650,0.61,0.59,0.47,0.49,0.5,0,0.54,0.22,non-CYT
651,0.63,0.47,0.56,0.12,0.5,0,0.5,0.22,non-CYT
652,0.55,0.53,0.54,NA,NA,0,0.48,0.22,non-CYT
653,0.41,0.47,0.58,0.62,0.5,0,0.5,NA,non-CYT
654,0.44,0.53,0.53,0.37,0.5,0,0.51,0.22,non-CYT
655,NA,0.4,0.48,NA,0.5,0,0.55,0.22,CYT
656,0.46,0.46,0.56,0.12,0.5,0,0.55,0.22,non-CYT
657,0.47,0.46,NA,0.28,0.5,0,0.44,0.46,non-CYT
658,0.39,0.35,0.49,0.17,0.5,0,0.49,0.22,non-CYT
659,NA,0.38,NA,0.21,0.5,0,0.5,0.22,CYT
660,0.53,0.41,0.5,0.24,1,0,0.47,0.22,CYT
661,NA,0.4,0.5,0.18,0.5,0,0.5,0.28,CYT
662,0.41,0.59,0.46,0.19,0.5,0,0.36,0.22,non-CYT
663,0.58,0.56,0.52,0.25,0.5,0,0.57,0.35,non-CYT
664,0.51,0.65,0.53,0.19,0.5,0,0.49,0.22,non-CYT
665,NA,0.79,0.32,0.37,0.5,0,0.41,0.22,non-CYT
666,0.44,0.41,0.29,0.21,0.5,0,0.49,0.22,non-CYT
667,0.49,0.6,0.55,0.17,0.5,0,0.44,0.22,CYT
668,0.56,0.63,0.52,0.2,0.5,0,0.34,0.26,non-CYT
669,0.42,0.28,0.57,0.18,0.5,0,0.42,0.22,non-CYT
670,0.51,0.46,0.54,NA,0.5,0,0.53,0.22,non-CYT
671,NA,0.51,0.52,0.45,0.5,0,0.5,0.27,non-CYT
672,0.37,NA,0.45,NA,0.5,0,0.47,0.22,CYT
673,0.37,0.51,0.57,0.4,0.5,0,0.48,0.27,non-CYT
674,0.36,0.39,0.55,0.26,0.5,0,0.49,0.22,non-CYT
675,0.5,0.36,0.53,0.41,0.5,0,NA,0.36,CYT
676,0.59,0.58,0.39,0.52,0.5,0,0.5,0.31,CYT
677,NA,0.63,0.53,0.13,0.5,0,0.54,0.22,non-CYT
678,0.47,0.59,0.37,0.31,0.5,0,0.51,0.36,non-CYT
679,0.48,0.62,0.52,NA,0.5,0,0.51,0.37,non-CYT
680,0.53,0.61,0.51,0.49,0.5,0,0.54,0.27,non-CYT
681,0.48,0.54,0.53,0.6,0.5,0,0.53,0.31,non-CYT
682,0.33,0.46,0.53,0.29,0.5,0,0.5,0.55,non-CYT
683,0.36,0.44,0.51,0.17,0.5,0,0.6,0.19,non-CYT
684,0.39,0.34,0.68,0.3,0.5,0,0.5,0.29,non-CYT
685,0.11,0.41,0.67,0.13,0.5,0,0.45,0.29,non-CYT
686,0.4,0.53,0.44,NA,0.5,0,0.54,0.31,non-CYT
687,0.47,0.5,0.55,0.19,0.5,0,0.62,0.22,CYT
688,0.35,0.5,0.44,0.27,0.5,0,0.51,0.22,CYT
689,0.36,0.3,0.5,0.19,0.5,0,0.55,0.3,non-CYT
690,0.49,0.44,0.51,0.18,0.5,0,0.52,0.27,CYT
691,0.35,0.44,0.54,0.26,0.5,0,0.52,0.26,non-CYT
692,0.43,NA,0.53,0.34,0.5,0,0.55,0.57,non-CYT
693,0.33,0.48,0.55,0.16,0.5,0,0.53,0.75,non-CYT
694,0.45,0.21,0.49,0.24,0.5,0,0.46,0.31,non-CYT
695,0.44,0.34,0.61,NA,0.5,0,0.49,0.26,non-CYT
696,0.87,0.47,0.6,0.47,0.5,0,0.59,0.22,non-CYT
697,0.3,0.55,0.58,0.16,0.5,0,0.61,0.28,non-CYT
698,0.29,0.34,NA,0.24,0.5,0,0.51,0.22,CYT
699,0.75,0.67,NA,0.29,0.5,0,0.52,0.36,non-CYT
700,0.47,0.47,0.5,0.15,0.5,0,0.5,0.48,non-CYT
701,0.51,0.34,0.49,NA,0.5,0,0.53,0.21,non-CYT
702,0.64,0.76,0.51,0.18,0.5,0,0.46,0.22,non-CYT
703,0.45,0.41,NA,0.48,0.5,0,NA,0.64,non-CYT
704,0.9,0.54,0.59,0.2,0.5,0,0.48,0.22,non-CYT
705,0.88,0.59,0.54,0.39,0.5,0,0.41,NA,non-CYT
706,0.7,0.51,0.47,0.24,0.5,0,0.53,0.25,non-CYT
707,0.25,0.36,0.58,0.3,0.5,0,0.58,NA,non-CYT
708,0.69,0.62,0.49,0,1,0,0.47,0.22,non-CYT
709,0.83,0.57,0.42,0.57,0.5,0,0.5,0.32,non-CYT
710,NA,0.38,NA,0.12,0.5,0,0.5,0.22,non-CYT
711,0.78,0.65,0.4,0.16,0.5,0,0.63,0.22,non-CYT
712,0.52,0.64,NA,0.16,0.5,0,0.57,0.22,non-CYT
713,0.75,0.66,0.64,0.39,0.5,0,0.46,0.32,non-CYT
714,0.41,0.49,0.58,0.22,0.5,0,0.52,0.22,non-CYT
715,0.58,0.51,0.56,0.16,0.5,0,0.34,0.22,non-CYT
716,0.48,0.49,0.45,0.23,0.5,0,0.51,0.22,non-CYT
717,0.39,0.42,0.49,NA,0.5,0,0.49,0.65,non-CYT
718,NA,0.42,0.48,0.17,0.5,0,0.49,0.53,non-CYT
719,0.39,0.28,0.54,0.14,0.5,0,0.59,0.22,non-CYT
720,0.76,0.67,NA,0.22,0.5,0,0.54,0.22,non-CYT
721,0.49,0.27,0.57,0.18,0.5,0.83,0.54,0.22,non-CYT
722,0.28,0.48,0.56,0.16,0.5,0,0.48,NA,CYT
723,0.69,0.39,NA,0.12,0.5,0,0.38,0.35,CYT
724,0.64,0.52,0.5,0.26,0.5,0,0.51,0.31,non-CYT
725,NA,0.48,0.5,0.3,0.5,0,0.51,0.22,CYT
726,0.5,0.5,0.54,0.16,0.5,0,0.49,0.22,non-CYT
727,0.47,0.43,0.59,0.27,0.5,0,0.55,0.22,non-CYT
728,0.68,0.59,0.44,0.49,0.5,0,0.4,0.26,non-CYT
729,0.5,0.51,0.57,0.27,0.5,0,0.48,0.22,non-CYT
730,0.45,0.46,0.61,NA,0.5,0,0.62,0.22,CYT
731,0.53,0.51,0.36,0.13,0.5,0,NA,0.22,non-CYT
732,0.6,0.54,0.54,0.53,NA,0,0.52,0.27,non-CYT
733,0.49,0.52,0.53,0.7,0.5,0,0.51,0.22,non-CYT
734,0.49,0.45,0.53,NA,0.5,0,0.49,0.31,CYT
735,0.51,0.46,0.57,0.25,0.5,0,0.53,0.22,CYT
736,0.49,0.45,0.46,0.18,0.5,0,0.49,0.31,CYT
737,0.52,0.46,0.51,NA,NA,0,0.5,0.22,CYT
738,0.55,0.59,0.52,0.1,0.5,0,0.53,NA,CYT
739,0.39,0.58,NA,0.1,0.5,0,0.51,0.25,CYT
740,0.7,0.84,0.49,0.28,1,0,0.58,0.22,non-CYT
741,0.33,0.38,0.45,0.19,0.5,0,0.54,0.37,non-CYT
742,0.61,0.46,0.44,0.47,0.5,0,0.5,0.37,non-CYT
743,0.41,0.48,0.38,0.13,0.5,0,0.51,0.35,non-CYT
744,0.37,0.42,0.6,0.13,0.5,0,0.51,0.22,non-CYT
745,0.45,0.58,0.59,0.44,0.5,0,0.56,0.22,non-CYT
746,0.74,0.89,0.32,0.24,0.5,0,0.54,0.32,non-CYT
747,0.28,0.46,0.26,0.18,0.5,0,0.39,0.22,non-CYT
748,0.51,0.46,0.49,0.21,0.5,0,0.55,0.22,non-CYT
749,0.8,0.82,0.57,NA,0.5,0,0.57,0.27,non-CYT
750,0.46,0.49,0.45,0.28,0.5,0,0.55,0.22,non-CYT
751,0.4,0.36,0.55,NA,0.5,0,0.53,0.22,non-CYT
752,0.67,0.46,0.58,0.3,0.5,0,0.57,0.27,non-CYT
